City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
97,Kaitangata,NZ,2022-07-29 01:18:18,-46.2817,169.8464,47.5,74,100,8.79,overcast clouds
98,Along,IN,2022-07-29 01:18:18,28.1667,94.7667,77.29,95,78,0.25,broken clouds
99,Mecca,SA,2022-07-29 01:18:19,21.4267,39.8261,88.61,30,60,2.21,broken clouds
100,Flinders,AU,2022-07-29 01:18:19,-34.5833,150.8552,59.05,45,1,10.0,clear sky
101,Svetlaya,RU,2022-07-29 01:18:20,46.5389,138.3297,72.05,83,100,4.72,overcast clouds
102,Vila Franca Do Campo,PT,2022-07-29 01:18:20,37.7167,-25.4333,72.01,90,10,3.83,clear sky
103,Tessalit,ML,2022-07-29 01:18:21,20.1986,1.0114,89.56,34,100,10.29,overcast clouds
104,Lagos,NG,2022-07-29 01:13:28,6.5833,3.75,74.7,87,100,4.97,overcast clouds
105,Khatanga,RU,2022-07-29 01:12:47,71.9667,102.5,68.63,50,90,3.18,overcast clouds
106,Victor Harbor,AU,2022-07-29 01:18:22,-35.5667,138.6167,49.68,94,100,11.12,overcast clouds
107,Amapa,BR,2022-07-29 01:18:22,1.0,-52.0,71.08,97,100,1.7,overcast clouds
108,Srednekolymsk,RU,2022-07-29 01:18:23,67.45,153.6833,65.95,32,5,9.4,clear sky
109,Talcahuano,CL,2022-07-29 01:18:24,-36.7167,-73.1167,51.48,66,0,10.36,clear sky
110,Oistins,BB,2022-07-29 01:18:24,13.0667,-59.5333,80.69,74,20,16.11,few clouds
111,Boyolangu,ID,2022-07-29 01:18:24,-8.1181,111.8935,76.05,84,100,5.32,overcast clouds
112,Abu Samrah,SY,2022-07-29 01:18:25,35.3029,37.1841,79.14,31,0,6.4,clear sky
113,Parainen,FI,2022-07-29 01:18:25,60.3067,22.301,57.15,78,100,13.56,overcast clouds
114,Lasa,IT,2022-07-29 01:18:26,46.6166,10.7002,58.37,91,99,2.28,overcast clouds
115,Faanui,PF,2022-07-29 01:18:27,-16.4833,-151.75,79.0,74,7,22.39,light rain
116,Mbala,ZM,2022-07-29 01:18:27,-8.8402,31.3659,54.72,76,75,7.81,broken clouds
117,Tuktoyaktuk,CA,2022-07-29 01:18:28,69.4541,-133.0374,44.6,87,100,14.97,overcast clouds
118,Batagay-Alyta,RU,2022-07-29 01:18:28,67.8006,130.4114,81.57,40,14,5.44,few clouds
119,Vysotsk,RU,2022-07-29 01:18:29,60.6288,28.5705,55.56,84,85,7.74,overcast clouds
120,Bontang,ID,2022-07-29 01:18:29,0.1333,117.5,80.13,81,82,4.52,broken clouds
121,Tezu,IN,2022-07-29 01:18:30,27.9167,96.1667,79.66,86,68,0.49,broken clouds
122,Bambous Virieux,MU,2022-07-29 01:18:30,-20.3428,57.7575,68.25,83,40,11.5,scattered clouds
123,Houma,US,2022-07-29 01:14:58,29.5958,-90.7195,81.0,89,30,0.0,scattered clouds
124,Vao,NC,2022-07-29 01:18:31,-22.6667,167.4833,69.73,64,33,12.1,scattered clouds
125,Pontal Do Parana,BR,2022-07-29 01:18:31,-25.6533,-48.5128,70.68,67,100,5.66,overcast clouds
126,Urucara,BR,2022-07-29 01:18:32,-2.5364,-57.76,79.75,68,98,2.3,overcast clouds
127,Goderich,CA,2022-07-29 01:18:32,43.7501,-81.7165,72.91,73,55,9.22,broken clouds
128,Merauke,ID,2022-07-29 01:18:33,-8.4667,140.3333,77.79,82,100,16.6,overcast clouds
129,Killybegs,IE,2022-07-29 01:18:33,54.6333,-8.45,56.5,81,84,5.84,broken clouds
130,Mataura,NZ,2022-07-29 01:18:34,-46.1927,168.8643,47.48,83,100,4.27,overcast clouds
131,Surt,LY,2022-07-29 01:18:34,31.2089,16.5887,79.7,74,0,2.8,clear sky
132,Haukipudas,FI,2022-07-29 01:18:35,65.1765,25.3523,53.65,91,100,10.8,overcast clouds
133,Kosikha,RU,2022-07-29 01:18:36,53.3617,84.5822,66.18,65,90,8.16,overcast clouds
134,Kavaratti,IN,2022-07-29 01:18:36,10.5669,72.642,80.6,82,81,14.36,broken clouds
135,Bilibino,RU,2022-07-29 01:18:37,68.0546,166.4372,57.81,42,76,11.59,broken clouds
136,Eureka,US,2022-07-29 01:18:37,40.8021,-124.1637,69.21,82,61,3.0,broken clouds
