City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
78,Hilo,US,83.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
80,Beyneu,KZ,73.27,clear sky,45.3167,55.2,NUR
81,Meulaboh,ID,74.28,light rain,4.1363,96.1285,Kost Pria
82,Albany,US,76.41,clear sky,42.6001,-73.9662,
85,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
90,Atuona,PF,76.51,light rain,-9.8,-139.0333,Villa Enata
94,Komsomolskiy,UZ,84.92,overcast clouds,40.4272,71.7189,Ikathouse
98,Along,IN,77.29,broken clouds,28.1667,94.7667,Hotel West
101,Svetlaya,RU,72.05,overcast clouds,46.5389,138.3297,
102,Vila Franca Do Campo,PT,72.01,clear sky,37.7167,-25.4333,Pestana Bahia Praia
104,Lagos,NG,74.7,overcast clouds,6.5833,3.75,
107,Amapa,BR,71.08,overcast clouds,1.0,-52.0,
110,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
111,Boyolangu,ID,76.05,overcast clouds,-8.1181,111.8935,Yos ega cv
112,Abu Samrah,SY,79.14,clear sky,35.3029,37.1841,
115,Faanui,PF,79.0,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
118,Batagay-Alyta,RU,81.57,few clouds,67.8006,130.4114,
120,Bontang,ID,80.13,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
121,Tezu,IN,79.66,broken clouds,27.9167,96.1667,Circuit House
123,Houma,US,81.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
125,Pontal Do Parana,BR,70.68,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
126,Urucara,BR,79.75,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
127,Goderich,CA,72.91,broken clouds,43.7501,-81.7165,Harmony Inn
128,Merauke,ID,77.79,overcast clouds,-8.4667,140.3333,
131,Surt,LY,79.7,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
134,Kavaratti,IN,80.6,broken clouds,10.5669,72.642,Green leaf
138,Goure,NE,78.03,overcast clouds,13.9835,10.2704,
145,Marsa Matruh,EG,77.54,clear sky,31.3525,27.2453,Beau Site
146,Gigmoto,PH,82.29,moderate rain,13.7796,124.39,Cj's Travellers Inn
147,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
149,Rock Springs,US,72.23,scattered clouds,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
153,Pontianak,ID,78.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
155,Touros,BR,75.87,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
156,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
157,La Tuque,CA,70.05,scattered clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
159,Udachnyy,RU,77.45,clear sky,66.4167,112.4,Severnoye Siyaniye
162,Solnechnyy,RU,77.85,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
163,Lorengau,PG,83.68,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
164,Sitangkai,PH,82.83,overcast clouds,4.6628,119.3928,Ama House
167,Yuanping,CN,73.47,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
168,Hudson Bay,CA,70.92,scattered clouds,52.85,-102.3842,Norwood Motel LTD
171,Batagay,RU,83.34,few clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
176,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
178,Mahibadhoo,MV,81.97,scattered clouds,3.7833,72.9667,Omadhoo Inn
185,Labuhan,ID,79.61,overcast clouds,-6.8844,112.2051,DoubleFAG
186,Mantua,IT,72.95,overcast clouds,45.1667,10.7833,Hotel la Favorita
187,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
189,Lompoc,US,80.74,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
193,Keti Bandar,PK,81.23,overcast clouds,24.1447,67.4497,Haji laloo memon house
195,Coahuayana,MX,78.53,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
201,Tautira,PF,77.49,light rain,-17.7333,-149.15,Pension Oaoa
203,Mbandaka,CD,70.83,overcast clouds,0.0487,18.2603,Guest House Epervier
204,Jalu,LY,83.12,clear sky,29.0331,21.5482,صاحبة الفخامة
207,Yenagoa,NG,72.37,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
209,Temerloh,MY,78.21,scattered clouds,3.4483,102.4176,U Design Hotel Temerloh
210,Luganville,VU,80.87,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
214,Burlington,US,84.78,broken clouds,39.8835,-74.6413,Delanco Camp
218,Sabang,ID,80.49,overcast clouds,5.8933,95.3214,Hotel Citra
219,Sao Filipe,CV,79.34,clear sky,14.8961,-24.4956,Hotel Xaguate
222,Calamar,CO,75.16,overcast clouds,10.2511,-74.9146,Hostal Katyalex
224,Katsuura,JP,84.11,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
225,Sao Joao Da Barra,BR,71.22,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
226,Dakar,SN,81.48,broken clouds,14.6937,-17.4441,Novotel Dakar
227,Kirakira,SB,82.35,scattered clouds,-10.4544,161.9205,SanBiz Lodge
228,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
230,Bikaner,IN,83.12,overcast clouds,28.0167,73.3,The Laxmi Niwas Palace
